# Copyright (c) Huawei Technologies Co., Ltd. 2026. All rights reserved.
# This source file is part of the Cangjie project, licensed under Apache-2.0
# with Runtime Library Exception.
# 
# See https://cangjie-lang.cn/pages/LICENSE for license information.

Children        Self    Symbol
   0.05%       0.05%    [libcangjie-runtime.so+0x10becc]
   0.05%       0.05%    [libcangjie-runtime.so+0x10b764]
   0.05%       0.00%    [libcangjie-runtime.so+0xd44a4]
   0.05%       0.00%    [libcangjie-runtime.so+0x1136bc]
   0.05%       0.00%    [libcangjie-runtime.so+0x10c770]
   0.05%       0.05%    [libcangjie-runtime.so+0xdba34]
   0.05%       0.05%    [libcangjie-runtime.so+0x10196c]
   0.05%       0.05%    [libcangjie-runtime.so+0x10e270]
   0.05%       0.05%    [libcangjie-runtime.so+0xdba90]
   0.05%       0.05%    [libcangjie-runtime.so+0x10d60c]
   0.05%       0.05%    [libcangjie-runtime.so+0x10be6c]
   0.05%       0.05%    memset_s
   0.05%       0.00%    [libcangjie-runtime.so+0xf73a4]
   0.05%       0.00%    [libcangjie-runtime.so+0xf7bc8]
   0.05%       0.00%    [libcangjie-runtime.so+0xd8e44]
   0.04%       0.04%    [libcangjie-runtime.so+0x101c6c]
   0.04%       0.04%    [libc-2.31.so+0x769ec]
   0.04%       0.04%    [libcangjie-runtime.so+0xc37fc]
   0.04%       0.04%    [libcangjie-runtime.so+0x10d440]
   0.04%       0.04%    [libcangjie-runtime.so+0xd5258]
   0.04%       0.04%    [libcangjie-runtime.so+0xdbad4]
   0.04%       0.04%    [libcangjie-runtime.so+0xdb1d8]
   0.04%       0.04%    [libcangjie-runtime.so+0x1005bc]
   0.04%       0.04%    [libcangjie-runtime.so+0x1005e4]
   0.04%       0.04%    [libcangjie-runtime.so+0xd5910]
   0.04%       0.04%    [libcangjie-runtime.so+0x106234]
   0.04%       0.04%    [libcangjie-runtime.so+0x106b8c]
   0.04%       0.00%    [libcangjie-runtime.so+0xf6f70]
   0.04%       0.00%    [libcangjie-runtime.so+0x103514]
   0.04%       0.00%    [libcangjie-runtime.so+0x103600]
   0.04%       0.00%    [libcangjie-runtime.so+0x10ce6c]
   0.04%       0.04%    [libcangjie-runtime.so+0xd5230]
   0.04%       0.04%    [libcangjie-runtime.so+0x10be7c]
   0.04%       0.04%    [libcangjie-runtime.so+0x10e250]
   0.04%       0.04%    [libcangjie-runtime.so+0xdd96c]
   0.04%       0.04%    [libcangjie-runtime.so+0x10dd9c]
   0.04%       0.04%    [libcangjie-runtime.so+0xd7068]
   0.04%       0.04%    [libcangjie-runtime.so+0xdba24]
   0.04%       0.04%    [libcangjie-runtime.so+0x10c0a0]
   0.04%       0.04%    [libcangjie-runtime.so+0xdb640]
   0.04%       0.04%    [libcangjie-runtime.so+0xdb5ec]
   0.04%       0.04%    [libcangjie-runtime.so+0x10d45c]
   0.04%       0.04%    [libcangjie-runtime.so+0x107968]
   0.04%       0.04%    [libcangjie-runtime.so+0x10d430]
   0.04%       0.04%    [libcangjie-runtime.so+0x1019fc]
   0.04%       0.00%    [libcangjie-runtime.so+0x106cf0]
   0.04%       0.04%    [libcangjie-runtime.so+0xdba60]
   0.04%       0.04%    [libcangjie-runtime.so+0x10bee0]
   0.04%       0.04%    [libcangjie-runtime.so+0xdb604]
   0.04%       0.04%    [libcangjie-runtime.so+0xb2f20]
   0.04%       0.04%    [libcangjie-runtime.so+0x101384]
   0.04%       0.04%    [libcangjie-runtime.so+0x101a74]
   0.04%       0.04%    [libcangjie-runtime.so+0xff794]
